Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan
Kobe,Ethiopia,41.7469,4.481,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Kobe,Ethiopia,41.7469,4.481,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Kobe,Ethiopia,41.7469,4.481,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Kobe,Ethiopia,41.7469,4.481,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,21966,5165,2949,3379,1227,256,2846,3331,1116,4175,236,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/7/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=460.pdf&name=Dollo_Ado_Population_Statistics_07_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/7/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=460.pdf&name=Dollo_Ado_Population_Statistics_07_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
